epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
131,2163.16,0.4721,0.4257,0.01746,0.93708,0.9435,0.96345,0.56437,0.45875,0.43655,0.01636,0.00126457,0.00126457,0.00126457
132,2179.66,0.45751,0.41787,0.01556,0.93072,0.94816,0.96206,0.50964,0.524,0.46056,0.02072,0.00125891,0.00125891,0.00125891
133,2196.04,0.45463,0.42126,0.01679,0.93167,0.92278,0.94817,0.46836,0.56908,0.45482,0.02333,0.00125326,0.00125326,0.00125326
134,2212.51,0.47205,0.42668,0.01647,0.92468,0.93682,0.94917,0.50375,0.53327,0.4487,0.02233,0.0012476,0.0012476,0.0012476
135,2228.88,0.461,0.42296,0.01591,0.93397,0.94744,0.96245,0.58976,0.43085,0.42804,0.01483,0.00124194,0.00124194,0.00124194
136,2245.27,0.43322,0.41803,0.01336,0.9206,0.92652,0.94767,0.45616,0.56876,0.45749,0.02502,0.00123629,0.00123629,0.00123629
137,2261.85,0.48658,0.42088,0.0218,0.93036,0.93665,0.95717,0.50155,0.51839,0.45773,0.02064,0.00123063,0.00123063,0.00123063
138,2278.31,0.43197,0.41517,0.0153,0.91555,0.93161,0.94396,0.39277,0.64643,0.47358,0.02726,0.00122497,0.00122497,0.00122497
139,2294.75,0.45667,0.42026,0.0162,0.92799,0.93703,0.95096,0.43538,0.60385,0.47014,0.02487,0.00121931,0.00121931,0.00121931
140,2311.22,0.44207,0.41876,0.01476,0.93021,0.94033,0.9559,0.52159,0.50527,0.44899,0.01962,0.00121366,0.00121366,0.00121366
141,2327.79,0.45863,0.40972,0.0177,0.93603,0.94807,0.96367,0.54231,0.48144,0.45059,0.01821,0.001208,0.001208,0.001208
142,2344.29,0.45195,0.41934,0.01529,0.9382,0.94672,0.96489,0.5763,0.44261,0.42864,0.01546,0.00120234,0.00120234,0.00120234
143,2360.98,0.46641,0.41774,0.01648,0.94337,0.94751,0.96516,0.54233,0.48029,0.44864,0.01822,0.00119669,0.00119669,0.00119669
144,2377.44,0.44367,0.42065,0.01533,0.93831,0.94178,0.96339,0.59253,0.42625,0.42817,0.01538,0.00119103,0.00119103,0.00119103
145,2393.97,0.45325,0.41386,0.01683,0.93491,0.9388,0.95437,0.54295,0.48556,0.44577,0.0188,0.00118537,0.00118537,0.00118537
146,2410.59,0.44446,0.41161,0.01733,0.93281,0.94456,0.96171,0.54158,0.48253,0.44491,0.0196,0.00117971,0.00117971,0.00117971
147,2427.12,0.4726,0.41818,0.01682,0.93824,0.9388,0.96307,0.62524,0.39849,0.4171,0.01258,0.00117406,0.00117406,0.00117406
148,2443.74,0.51244,0.43497,0.01944,0.94415,0.93707,0.96509,0.5681,0.44963,0.43945,0.01619,0.0011684,0.0011684,0.0011684
149,2460.37,0.47528,0.42724,0.01781,0.92359,0.93985,0.95535,0.45798,0.56039,0.45296,0.02327,0.00116274,0.00116274,0.00116274
150,2476.81,0.44003,0.42397,0.01566,0.93488,0.93521,0.96176,0.54719,0.47011,0.44693,0.01909,0.00115709,0.00115709,0.00115709
151,2493.22,0.44978,0.41951,0.01525,0.92638,0.93593,0.95753,0.56196,0.46082,0.43718,0.01724,0.00115143,0.00115143,0.00115143
152,2509.78,0.49814,0.42339,0.02111,0.9274,0.93593,0.95771,0.51688,0.50005,0.4544,0.01876,0.00114577,0.00114577,0.00114577
153,2526.28,0.46902,0.43022,0.0157,0.92496,0.93179,0.9492,0.48575,0.54075,0.45624,0.02084,0.00114011,0.00114011,0.00114011
154,2542.67,0.46599,0.43072,0.01507,0.9275,0.93593,0.9548,0.52328,0.50854,0.4465,0.02008,0.00113446,0.00113446,0.00113446
155,2559.11,0.46402,0.42088,0.01785,0.93469,0.93755,0.9584,0.44177,0.58466,0.46656,0.0244,0.0011288,0.0011288,0.0011288
156,2575.67,0.49092,0.42419,0.01583,0.94061,0.94631,0.9663,0.50292,0.52123,0.45571,0.02113,0.00112314,0.00112314,0.00112314
157,2592.09,0.48556,0.42976,0.01634,0.94327,0.94562,0.9659,0.60655,0.41286,0.42055,0.01297,0.00111749,0.00111749,0.00111749
158,2608.42,0.48611,0.42486,0.01985,0.92681,0.93907,0.95928,0.55011,0.47458,0.44255,0.01807,0.00111183,0.00111183,0.00111183
159,2624.8,0.42849,0.41334,0.01432,0.93125,0.9388,0.9587,0.5254,0.50437,0.45495,0.02065,0.00110617,0.00110617,0.00110617
160,2641.3,0.40894,0.40375,0.01181,0.93125,0.93593,0.95562,0.44648,0.5841,0.47067,0.02552,0.00110051,0.00110051,0.00110051
161,2657.68,0.42338,0.41353,0.01382,0.92124,0.92633,0.94914,0.44761,0.58561,0.47818,0.02477,0.00109486,0.00109486,0.00109486
162,2674.29,0.42513,0.41486,0.01504,0.92914,0.93737,0.95894,0.53815,0.48931,0.45075,0.02004,0.0010892,0.0010892,0.0010892
163,2690.72,0.44652,0.42264,0.01483,0.9316,0.95121,0.96421,0.53487,0.49343,0.45186,0.02034,0.00108354,0.00108354,0.00108354
164,2707.23,0.51403,0.43325,0.0209,0.87725,0.87979,0.90069,0.25425,0.78847,0.46788,0.03424,0.00107789,0.00107789,0.00107789
165,2723.77,0.4711,0.43155,0.01731,0.93061,0.94625,0.95985,0.55502,0.47109,0.44113,0.01864,0.00107223,0.00107223,0.00107223
166,2740.24,0.5072,0.43595,0.02134,0.93035,0.93377,0.95608,0.58025,0.44578,0.43141,0.01594,0.00106657,0.00106657,0.00106657
167,2756.72,0.4892,0.43139,0.01719,0.92357,0.92801,0.95019,0.49099,0.53977,0.44755,0.02244,0.00106091,0.00106091,0.00106091
168,2773.26,0.50999,0.43215,0.02145,0.9218,0.94201,0.95404,0.4864,0.53514,0.4653,0.02178,0.00105526,0.00105526,0.00105526
169,2789.8,0.47168,0.43089,0.0182,0.93055,0.94384,0.95856,0.53642,0.49176,0.4406,0.01941,0.0010496,0.0010496,0.0010496
170,2806.31,0.44825,0.41971,0.01694,0.9303,0.93665,0.95596,0.56629,0.45456,0.44203,0.01571,0.00104394,0.00104394,0.00104394
171,2822.82,0.47773,0.43728,0.01739,0.92606,0.93233,0.95076,0.4836,0.53326,0.45574,0.0225,0.00103829,0.00103829,0.00103829
172,2839.26,0.49968,0.43737,0.01847,0.91488,0.92657,0.94549,0.43901,0.60363,0.46666,0.02646,0.00103263,0.00103263,0.00103263
173,2855.68,0.49472,0.43066,0.0204,0.91028,0.93593,0.94846,0.43495,0.59893,0.46114,0.02448,0.00102697,0.00102697,0.00102697
174,2872.3,0.44664,0.42216,0.01611,0.93551,0.9424,0.96178,0.59716,0.43898,0.42256,0.01858,0.00102131,0.00102131,0.00102131
175,2888.82,0.48305,0.4288,0.02036,0.92016,0.92928,0.94919,0.46316,0.58754,0.46213,0.0248,0.00101566,0.00101566,0.00101566
176,2905.36,0.45782,0.42556,0.01445,0.92961,0.93952,0.95496,0.43088,0.59195,0.4683,0.02488,0.00101,0.00101,0.00101
177,2921.76,0.44714,0.42485,0.0154,0.92354,0.94784,0.95591,0.53293,0.48843,0.45107,0.01877,0.00100434,0.00100434,0.00100434
178,2938.34,0.45651,0.41896,0.0135,0.936,0.94756,0.96739,0.56466,0.46024,0.44088,0.01697,0.000998686,0.000998686,0.000998686
