epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,5800.21,1.55704,0.67996,0.76834,0.92289,0.91942,0.93846,0.51719,1.22903,0.54225,0.62365,0.0006932,0.0006932,0.0006932
134,5842.76,1.52815,0.68449,0.76733,0.91269,0.90169,0.92322,0.46162,1.34091,0.56582,0.62265,0.0006833,0.0006833,0.0006833
135,5885.34,1.57192,0.71876,0.77428,0.92567,0.90806,0.93632,0.51228,1.22088,0.52906,0.62358,0.0006734,0.0006734,0.0006734
136,5928.57,1.51208,0.67056,0.75838,0.91009,0.89909,0.92568,0.45194,1.35465,0.58704,0.62447,0.0006635,0.0006635,0.0006635
137,5972.04,1.62088,0.70811,0.77637,0.89982,0.88281,0.9212,0.46167,1.34937,0.58333,0.61905,0.0006536,0.0006536,0.0006536
138,6015.71,1.54768,0.72162,0.76521,0.92552,0.89583,0.93157,0.45933,1.40481,0.61039,0.63343,0.0006437,0.0006437,0.0006437
139,6059.7,1.50445,0.66785,0.76549,0.86591,0.79036,0.83973,0.29351,1.79547,0.78657,0.63753,0.0006338,0.0006338,0.0006338
140,6103.02,1.48942,0.70038,0.75214,0.89117,0.86894,0.88991,0.39915,1.47481,0.61976,0.62365,0.0006239,0.0006239,0.0006239
141,6145.33,1.49139,0.70775,0.75625,0.91269,0.88476,0.92312,0.50189,1.22287,0.57783,0.61615,0.000614,0.000614,0.000614
142,6187.57,1.43439,0.67805,0.74627,0.90371,0.88601,0.92295,0.47054,1.30721,0.59639,0.61815,0.0006041,0.0006041,0.0006041
143,6229.85,1.52173,0.74026,0.7665,0.91923,0.92383,0.94039,0.49579,1.27187,0.75354,0.62507,0.0005942,0.0005942,0.0005942
144,6272.13,1.51959,0.69593,0.77691,0.89237,0.87984,0.91112,0.43001,1.41974,0.61333,0.625,0.0005843,0.0005843,0.0005843
145,6314.48,1.53046,0.74602,0.77882,0.87443,0.83268,0.89116,0.41037,1.4849,0.66876,0.62401,0.0005744,0.0005744,0.0005744
146,6356.71,1.50956,0.70792,0.76568,0.91192,0.90998,0.93256,0.50362,1.24649,0.57334,0.62177,0.0005645,0.0005645,0.0005645
147,6398.99,1.5065,0.68505,0.76618,0.92247,0.91146,0.94167,0.51491,1.19114,0.55046,0.61877,0.0005546,0.0005546,0.0005546
148,6441.24,1.47327,0.7011,0.74488,0.79822,0.70833,0.73715,0.2141,2.07377,0.80205,0.65317,0.0005447,0.0005447,0.0005447
149,6483.44,1.53797,0.7363,0.76169,0.92001,0.92099,0.93971,0.50471,1.29862,0.5491,0.62692,0.0005348,0.0005348,0.0005348
150,6525.76,1.43878,0.66253,0.7423,0.91923,0.9082,0.93656,0.48377,1.32948,0.55121,0.62729,0.0005249,0.0005249,0.0005249
151,6568.03,1.4807,0.66888,0.7513,0.66307,0.492,0.53659,0.11984,2.50178,1.12728,0.68361,0.000515,0.000515,0.000515
152,6610.28,1.4623,0.66128,0.76379,0.90983,0.90104,0.92799,0.48981,1.25448,0.55064,0.62046,0.0005051,0.0005051,0.0005051
153,6652.51,1.50647,0.71297,0.77465,0.92483,0.91276,0.94116,0.50698,1.25841,0.54405,0.62488,0.0004952,0.0004952,0.0004952
154,6696.03,1.46679,0.68183,0.76242,0.89996,0.90776,0.93162,0.48181,1.2974,0.57562,0.62018,0.0004853,0.0004853,0.0004853
155,6740.52,1.43853,0.6342,0.7412,0.90785,0.9082,0.9311,0.49678,1.22744,0.54912,0.61573,0.0004754,0.0004754,0.0004754
156,6784.91,1.41865,0.64818,0.73915,0.91182,0.9021,0.92527,0.47811,1.27938,0.54502,0.61884,0.0004655,0.0004655,0.0004655
157,6828.3,1.44943,0.66864,0.76046,0.84458,0.76628,0.8124,0.25374,1.89809,0.78845,0.64436,0.0004556,0.0004556,0.0004556
158,6871.41,1.43275,0.6559,0.7588,0.92503,0.9238,0.94265,0.51308,1.23758,0.53728,0.62054,0.0004457,0.0004457,0.0004457
159,6914.91,1.40045,0.6376,0.754,0.90816,0.90299,0.93717,0.5242,1.16599,0.54362,0.61527,0.0004358,0.0004358,0.0004358
160,6959.06,1.40813,0.59513,0.74713,0.87752,0.8443,0.88008,0.3549,1.65427,0.67387,0.6304,0.0004259,0.0004259,0.0004259
161,7002.43,1.48084,0.65835,0.75934,0.92033,0.92509,0.94512,0.52978,1.18721,0.51268,0.61986,0.000416,0.000416,0.000416
162,7046.22,1.44978,0.62975,0.76509,0.905,0.90299,0.92808,0.48787,1.28683,0.55516,0.62144,0.0004061,0.0004061,0.0004061
163,7089.52,1.44014,0.64351,0.77123,0.91431,0.91694,0.93963,0.5266,1.16584,0.51768,0.61469,0.0003962,0.0003962,0.0003962
164,7132.23,1.40335,0.65261,0.75139,0.89566,0.90169,0.92111,0.47274,1.31556,0.57054,0.62005,0.0003863,0.0003863,0.0003863
165,7175.41,1.44293,0.62161,0.75413,0.90676,0.90104,0.93675,0.53128,1.17925,0.53587,0.61949,0.0003764,0.0003764,0.0003764
166,7218.72,1.50208,0.67803,0.77267,0.91211,0.9069,0.93684,0.51696,1.21886,0.53496,0.61907,0.0003665,0.0003665,0.0003665
167,7261.85,1.41494,0.64924,0.75256,0.89435,0.8322,0.88529,0.41371,1.52982,0.70091,0.62698,0.0003566,0.0003566,0.0003566
168,7304.97,1.40979,0.70078,0.75047,0.91546,0.90243,0.93605,0.50902,1.21741,0.53517,0.61692,0.0003467,0.0003467,0.0003467
169,7347.87,1.40892,0.64219,0.75417,0.90637,0.89488,0.93284,0.49915,1.22739,0.5605,0.6183,0.0003368,0.0003368,0.0003368
170,7392.22,1.47642,0.6873,0.7617,0.8995,0.88281,0.92445,0.47013,1.32099,0.56946,0.62034,0.0003269,0.0003269,0.0003269
